,city,Longitude,Latitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date Time
385,pauri,78.78,30.15,80.6,88,75,3.36,IN,1594050761
386,chihuahua,-106.0,28.5,75.2,60,75,0.49,MX,1594050761
387,ust-nera,143.2,64.57,52.27,65,81,1.39,RU,1594050761
388,logumkloster,8.96,55.06,60.01,62,40,26.4,DK,1594050761
389,port blair,92.75,11.67,82.81,82,98,12.82,IN,1594050761
390,sorgun,35.19,39.81,78.24,47,0,12.91,TR,1594050761
391,lhokseumawe,97.15,5.18,79.56,81,67,3.96,ID,1594050761
392,vangaindrano,47.6,-23.35,66.29,87,0,3.94,MG,1594050761
393,abu samrah,37.18,35.3,93.42,25,0,16.8,SY,1594050761
394,telixtac,-98.77,18.57,73.0,93,75,3.36,MX,1594050761
395,simplicio mendes,-41.91,-7.85,87.3,43,3,11.34,BR,1594050762
396,nabire,135.48,-3.37,75.6,89,100,1.79,ID,1594050762
397,norman wells,-126.83,65.28,46.4,93,75,8.05,CA,1594050762
398,sioux falls,-96.7,43.55,71.6,83,90,13.87,US,1594050753
399,mattru,-11.83,7.62,78.89,88,83,6.08,SL,1594050762
400,henties bay,14.28,-22.12,75.99,38,0,5.01,NA,1594050762
401,manzanillo,-77.12,20.34,88.48,59,0,6.6,CU,1594050762
402,kasongo-lunda,16.82,-6.47,88.83,20,40,3.13,CD,1594050762
403,pacific grove,-121.92,36.62,59.0,77,90,9.17,US,1594050714
404,san rafael,-68.33,-34.62,45.75,56,94,7.29,AR,1594050657
405,gat,34.76,31.61,84.0,65,20,11.41,IL,1594050762
406,gardez,69.23,33.6,67.24,44,64,5.93,AF,1594050762
407,petropavlovsk-kamchatskiy,158.65,53.05,60.8,100,11,6.71,RU,1594050762
408,bilma,12.92,18.69,107.19,6,0,4.5,NE,1594050762
409,luanda,13.23,-8.84,78.8,65,1,11.41,AO,1594050698
410,constitucion,-72.42,-35.33,52.66,63,96,2.35,CL,1594050762
411,bairiki,172.98,1.33,82.92,74,13,14.83,KI,1594050762
412,itarema,-39.92,-2.92,81.27,80,13,11.03,BR,1594050762
413,mangrol,70.12,21.12,83.08,84,100,33.51,IN,1594050762
414,sambava,50.17,-14.27,75.09,78,92,19.46,MG,1594050763
415,vao,167.48,-22.67,69.37,63,100,12.44,NC,1594050763
416,catuday,119.81,16.29,82.09,79,86,4.43,PH,1594050763
417,xining,101.77,36.62,60.84,49,55,1.9,CN,1594050763
418,gunnedah,150.25,-30.98,37.4,93,0,5.82,AU,1594050763
419,husavik,-17.34,66.04,48.2,76,90,8.05,IS,1594050763
420,north bend,-124.22,43.41,59.0,93,90,1.19,US,1594050763
421,padang,100.35,-0.95,79.32,80,53,4.63,ID,1594050763
422,pangody,74.49,65.85,69.46,59,0,4.0,RU,1594050763
423,diapaga,1.79,12.07,96.44,33,35,4.34,BF,1594050763
424,bongandanga,21.05,1.5,82.53,64,84,2.44,CD,1594050763
425,nanortalik,-45.24,60.14,42.08,85,99,5.91,GL,1594050763
426,jalu,21.55,29.03,93.27,24,0,21.39,LY,1594050763
427,lerwick,-1.15,60.15,50.0,93,75,27.51,GB,1594050763
428,broken hill,141.43,-31.95,37.4,86,0,4.7,AU,1594050660
429,sterling,-77.43,39.01,89.01,66,75,4.7,US,1594050661
430,aklavik,-135.01,68.22,41.0,100,90,8.05,CA,1594050764
431,uddevalla,11.94,58.35,64.0,70,77,7.0,SE,1594050764
432,kirakira,161.92,-10.45,78.31,81,95,7.83,SB,1594050764
433,wewak,143.63,-3.55,80.46,81,45,12.88,PG,1594050764
434,garowe,48.48,8.41,88.25,34,36,24.16,SO,1594050764
435,mancio lima,-72.9,-7.61,85.5,68,89,1.59,BR,1594050764
436,macklin,-109.93,52.33,64.62,58,0,6.22,CA,1594050764
437,cidreira,-50.21,-30.18,58.19,80,94,9.82,BR,1594050645
438,valleyview,-117.29,55.07,61.0,71,79,5.48,CA,1594050690
439,qinhuangdao,119.59,39.93,69.4,88,65,3.0,CN,1594050595
440,marzuq,46.47,14.4,81.86,49,98,7.92,YE,1594050764
441,santiago de cuba,-75.82,20.02,91.4,52,40,4.7,CU,1594050764
442,marawi,124.29,8.0,77.0,90,100,5.99,PH,1594050764
443,tukrah,20.58,32.53,78.94,62,0,14.76,LY,1594050764
444,hambantota,81.12,6.12,82.4,88,40,10.29,LK,1594050764
445,riberalta,-66.1,-10.98,87.8,62,75,2.1,BO,1594050764
446,rio gallegos,-69.22,-51.62,15.8,92,75,5.82,AR,1594050740
447,tautira,-149.15,-17.73,73.4,83,83,3.36,PF,1594050764
448,geraldton,114.6,-28.77,53.6,87,72,8.05,AU,1594050765
449,gonnoi,22.47,39.87,87.8,43,75,6.93,GR,1594050765
450,shingu,135.98,33.73,74.14,94,100,8.19,JP,1594050765
451,mehamn,27.85,71.04,48.2,87,75,9.17,NO,1594050765
452,shitanjing,106.34,39.23,80.04,21,61,5.61,CN,1594050765
453,brandon,-82.29,27.94,91.4,70,40,11.41,US,1594050705
454,richards bay,32.04,-28.78,68.0,68,0,10.96,ZA,1594050765
455,la ronge,-105.28,55.1,64.4,72,75,11.41,CA,1594050765
456,dryden,-92.75,49.78,73.4,78,40,5.82,CA,1594050765
457,betsiamites,-68.65,48.94,62.6,77,75,16.11,CA,1594050765
458,kano,8.52,12.0,86.0,66,20,6.93,NG,1594050468
459,waraseoni,80.03,21.75,77.14,89,100,11.68,IN,1594050765
460,cayenne,-52.33,4.93,80.6,88,14,12.75,GF,1594050765
461,igrim,64.42,63.19,73.13,62,76,1.81,RU,1594050766
462,concepcion,-73.05,-36.83,44.6,75,98,6.93,CL,1594050480
463,hamina,27.2,60.57,64.99,39,10,20.8,FI,1594050766
464,novichikha,81.39,52.2,62.51,89,61,7.36,RU,1594050766
465,biltine,20.92,14.53,97.54,25,28,6.49,TD,1594050766
466,mugla,28.36,37.23,87.8,43,20,16.11,TR,1594050766
467,rojhan,69.95,28.69,99.39,30,47,9.75,PK,1594050766
468,mecca,39.83,21.43,95.67,15,90,10.54,SA,1594050471
469,abadzekhskaya,40.22,44.39,81.73,54,13,4.9,RU,1594050766
470,ardabil,48.29,38.25,73.4,33,20,18.34,IR,1594050766
471,swan hill,143.55,-35.34,46.11,87,76,7.23,AU,1594050766
472,mantua,10.78,45.17,91.0,45,0,5.01,IT,1594050766
473,singaparna,108.11,-7.35,70.81,91,90,0.81,ID,1594050766
474,polunochnoye,60.42,60.87,71.83,62,29,2.04,RU,1594050766
475,cuiluan,128.65,47.72,63.0,93,100,2.91,CN,1594050766
476,kibre mengist,38.98,5.88,58.66,88,69,1.21,ET,1594050766
477,riviere-au-renard,-64.4,49.0,57.2,93,90,8.05,CA,1594050766
478,langham,-106.97,52.37,64.4,72,5,8.05,CA,1594050766
479,shenjiamen,122.3,29.96,76.71,95,100,14.03,CN,1594050767
480,portland,-122.68,45.52,61.0,72,75,3.36,US,1594050487
481,walvis bay,14.51,-22.96,87.8,12,0,9.17,NA,1594050767
482,uralets,59.65,57.66,67.48,85,50,0.63,RU,1594050767
483,kenai,-151.26,60.55,53.6,87,90,8.05,US,1594050767
484,dubti,41.09,11.74,98.46,18,100,5.12,ET,1594050767
485,prince rupert,-130.32,54.32,55.4,93,90,2.24,CA,1594050767
486,warri,5.75,5.52,79.25,85,95,6.89,NG,1594050767
487,catamarca,-65.79,-28.47,53.01,68,47,5.99,AR,1594050740
488,kalabo,22.68,-14.97,70.27,23,36,3.65,ZM,1594050767
489,christchurch,172.63,-43.53,35.01,77,24,2.24,NZ,1594050568
490,makinsk,70.42,52.63,62.11,73,17,2.77,KZ,1594050767
491,natal,-35.21,-5.79,77.0,94,90,13.87,BR,1594050615
492,umea,20.26,63.83,60.8,72,75,11.41,SE,1594050767
493,pershotravneve,28.87,51.39,79.07,64,0,6.04,UA,1594050768
494,uruguaiana,-57.09,-29.75,57.2,71,75,16.11,BR,1594050768
495,joshimath,79.57,30.57,65.82,58,54,0.92,IN,1594050768
496,ayan,138.17,56.45,48.15,92,95,0.54,RU,1594050768
497,hannut,5.08,50.67,68.0,42,40,13.87,BE,1594050768
498,gunjur,-16.73,13.2,78.8,100,75,8.05,GM,1594050768
499,tulum,-87.47,20.22,87.8,70,75,10.29,MX,1594050768
500,waingapu,120.26,-9.66,75.06,82,19,12.1,ID,1594050768
501,kendari,122.5,-3.94,73.96,92,22,1.72,ID,1594050768
502,kupang,123.58,-10.17,76.1,80,27,13.98,ID,1594050768
503,sur,59.53,22.57,92.21,60,39,3.85,OM,1594050768
504,ewa beach,-158.01,21.32,75.2,78,1,4.7,US,1594050582
505,jamui,86.22,24.92,85.33,77,100,11.03,IN,1594050768
506,lompoc,-120.46,34.64,57.2,87,90,8.05,US,1594050768
507,madang,145.8,-5.22,77.16,88,98,1.48,PG,1594050769
508,toora-khem,96.11,52.47,61.39,73,48,5.55,RU,1594050769
509,general pico,-63.76,-35.66,50.9,47,94,7.09,AR,1594050769
510,ust-ilimsk,102.66,58.0,67.62,46,81,4.85,RU,1594050769
511,fecamp,0.37,49.76,64.99,63,20,13.87,FR,1594050769
512,puerto baquerizo moreno,-89.6,-0.9,71.6,83,75,9.17,EC,1594050769
513,dengzhou,120.75,37.81,70.39,86,0,1.9,CN,1594050769
514,stolin,26.85,51.89,79.09,73,1,6.51,BY,1594050769
515,villiers,28.6,-27.03,56.48,30,0,5.21,ZA,1594050769
516,margate,1.39,51.38,69.01,30,1,5.99,GB,1594050769
517,qui nhon,109.23,13.77,81.01,85,12,12.82,VN,1594050589
518,hami,93.45,42.8,90.23,16,94,10.54,CN,1594050769
519,tarko-sale,77.78,64.92,67.33,57,45,9.28,RU,1594050769
520,gaoual,-13.2,11.75,87.93,64,98,4.21,GN,1594050770
521,omsukchan,155.8,62.53,45.41,81,96,4.12,RU,1594050770
522,ponta delgada,-25.67,37.73,73.4,73,40,14.99,PT,1594050770
523,greensburg,-79.54,40.3,87.8,43,5,6.93,US,1594050665
524,acari,-74.62,-15.43,71.17,44,59,7.31,PE,1594050770
525,mitsamiouli,43.28,-11.38,78.28,77,68,16.35,KM,1594050770
526,rosarito,-117.03,32.33,66.2,88,5,5.82,MX,1594050770
527,stornoway,-6.39,58.21,59.0,62,75,21.92,GB,1594050770
528,orichi,49.06,58.4,74.64,76,50,3.65,RU,1594050770
529,japura,102.35,-0.32,75.56,95,97,2.64,ID,1594050770
530,manga,-1.07,11.66,94.15,37,98,2.17,BF,1594050770
531,timizart,4.27,36.8,80.19,45,0,9.98,DZ,1594050770
532,seoul,126.98,37.57,77.0,65,40,6.4,KR,1594050569
533,strezhevoy,77.59,60.73,68.0,68,20,2.24,RU,1594050770
534,vinh long,105.97,10.25,76.44,92,100,2.66,VN,1594050770
535,traverse city,-85.62,44.76,87.8,43,20,6.93,US,1594050763
536,sao jose da coroa grande,-35.15,-8.9,79.66,70,25,12.55,BR,1594050771
537,invermere,-116.04,50.52,59.0,59,9,3.0,CA,1594050771
538,glenluce,-4.81,54.88,57.99,78,3,5.99,GB,1594050771
539,lieksa,30.02,63.32,58.42,75,56,13.65,FI,1594050771
540,kolyshley,44.54,52.7,91.99,23,3,3.51,RU,1594050771
541,korla,86.15,41.76,86.0,56,16,3.0,CN,1594050771
542,sanchor,71.77,24.76,88.36,60,100,13.09,IN,1594050771
543,inhambane,35.38,-23.86,73.4,60,0,4.7,MZ,1594050771
544,banjar,114.97,-8.19,78.8,100,40,9.17,ID,1594050771
545,jawhar,45.5,2.78,78.49,70,85,17.0,SO,1594050771
546,nanzhou,112.4,29.36,77.23,96,99,3.24,CN,1594050771
547,nouadhibou,-17.03,20.93,78.8,69,58,10.29,MR,1594050771
548,tezu,96.17,27.92,78.31,84,85,3.11,IN,1594050771
549,saint-pierre,55.48,-21.34,71.6,94,90,19.46,RE,1594050771
550,isangel,169.27,-19.55,64.4,100,90,3.36,VU,1594050771
551,oranjemund,16.43,-28.55,60.78,71,0,2.71,NA,1594050771
552,kamaishi,141.88,39.27,68.81,92,100,7.61,JP,1594050771
553,la rioja,-2.5,42.25,75.2,50,20,10.29,ES,1594050771
554,fort nelson,-122.7,58.81,59.0,77,40,3.36,CA,1594050772
555,ulladulla,150.47,-35.35,50.0,81,90,6.93,AU,1594050772
556,ushtobe,77.98,45.25,67.77,59,96,5.95,KZ,1594050772
557,aksha,113.29,50.28,54.88,54,0,3.29,RU,1594050772
558,zaysan,84.87,47.47,63.95,59,51,8.84,KZ,1594050772
559,muskogee,-95.33,35.58,84.99,78,1,8.05,US,1594050772
560,cairns,145.77,-16.92,68.0,77,75,10.29,AU,1594050772
561,buncrana,-7.45,55.13,57.2,76,40,11.41,IE,1594050772
562,bubaque,-15.83,11.28,81.23,81,52,11.83,GW,1594050772
563,troitskoye,84.68,52.98,61.77,92,24,3.69,RU,1594050772
