,city,Longitude,Latitude,Max Temp,Humidity,Clouds,Wind Speed,Country,Date Time
131,nagapattinam,79.83,10.77,84.02,74,100,17.29,IN,1594050745
132,pisco,-76.22,-13.7,62.6,82,90,4.7,PE,1594050745
133,brewster,-73.62,41.4,87.01,48,1,4.7,US,1594050743
134,urusha,122.9,54.05,49.84,70,0,3.62,RU,1594050745
135,bandarbeyla,50.81,9.49,80.28,73,37,31.81,SO,1594050745
136,aberystwyth,-4.08,52.42,63.0,63,3,4.0,GB,1594050699
137,chuy,-53.46,-33.7,53.8,65,11,6.26,UY,1594050745
138,winneba,-0.62,5.35,82.4,74,20,13.87,GH,1594050745
139,komsomolskiy,71.72,40.43,82.4,24,20,4.7,UZ,1594050745
140,fortuna,-124.16,40.6,55.99,93,75,10.29,US,1594050746
141,esperance,121.9,-33.87,51.8,93,6,13.87,AU,1594050746
142,san andres,-81.7,12.58,86.0,79,20,12.75,CO,1594050534
143,oum hadjer,19.7,13.3,91.53,43,87,13.13,TD,1594050746
144,ostrovnoy,39.51,68.05,53.15,84,66,14.85,RU,1594050746
145,nome,-165.41,64.5,46.99,93,90,14.99,US,1594050746
146,worland,-107.96,44.02,73.0,45,1,3.36,US,1594050746
147,khatanga,102.5,71.97,49.44,66,100,15.01,RU,1594050746
148,awbari,12.78,26.59,97.59,13,0,15.37,LY,1594050746
149,bethel,-73.41,41.37,87.01,48,1,4.7,US,1594050746
150,paka,103.44,4.64,80.6,94,100,1.12,MY,1594050746
151,mahebourg,57.7,-20.41,73.4,94,75,8.05,MU,1594050746
152,raton,-104.44,36.9,70.0,68,1,4.7,US,1594050747
153,le port,55.29,-20.94,73.4,78,90,16.11,RE,1594050747
154,cap malheureux,57.61,-19.98,73.99,89,83,7.0,MU,1594050747
155,touros,-35.46,-5.2,77.0,94,90,13.87,BR,1594050747
156,axim,-2.24,4.87,78.82,78,93,11.07,GH,1594050747
157,longyearbyen,15.64,78.22,53.6,66,75,16.11,SJ,1594050747
158,folkestone,1.18,51.08,72.0,53,45,5.99,GB,1594050747
159,provideniya,-173.3,64.38,44.91,90,51,5.1,RU,1594050747
160,tahe,124.73,52.33,56.26,57,92,3.96,CN,1594050747
161,barrow,-156.79,71.29,33.8,86,90,14.99,US,1594050747
162,sioux lookout,-91.92,50.1,73.4,78,75,4.7,CA,1594050747
163,novobirilyussy,90.67,56.95,62.62,87,100,3.91,RU,1594050747
